show_id,type,title,director,country,date_added,release_year,rating,listed_in,year_added,month_added,duration_value,duration_unit,genre_count
s21,Tv Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,22-09-2021,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows",2021,9,1,season,3
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,21-09-2021,2021,TV-Y,Children & Family Movies,2021,9,61,min,1
s25,Movie,Jeans,S. Shankar,India,21-09-2021,1998,TV-14,"Comedies, International Movies, Romantic Movies",2021,9,166,min,3
s28,Movie,Grown Ups,Dennis Dugan,United States,20-09-2021,2010,PG-13,Comedies,2021,9,103,min,1
s29,Movie,Dark Skies,Scott Stewart,United States,19-09-2021,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy",2021,9,97,min,2
s30,Movie,Paranoia,Robert Luketic,United States,19-09-2021,2013,PG-13,Thrillers,2021,9,106,min,1
s20,Tv Show,Jaguar,Unknown,Pakistan,22-09-2021,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2021,9,1,season,3
s32,Tv Show,Chicago Party Aunt,Unknown,Pakistan,17-09-2021,2021,TV-MA,TV Comedies,2021,9,1,season,1
s34,Tv Show,Squid Game,Unknown,Pakistan,17-09-2021,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",2021,9,1,season,3
s35,Tv Show,Tayo and Little Wizards,Unknown,Pakistan,17-09-2021,2020,TV-Y7,Kids' TV,2021,9,1,season,1
s75,Tv Show,The World's Most Amazing Vacation Rentals,Unknown,Pakistan,14-09-2021,2021,TV-PG,Reality TV,2021,9,2,season,1
s84,Tv Show,Metal Shop Masters,Unknown,Pakistan,10-09-2021,2021,TV-MA,Reality TV,2021,9,1,season,1
s86,Tv Show,Pokémon Master Journeys: The Series,Unknown,Pakistan,10-09-2021,2021,TV-Y7,"Anime Series, Kids' TV",2021,9,1,season,2
s88,Tv Show,Titipo Titipo,Unknown,Pakistan,10-09-2021,2019,TV-Y,"Kids' TV, Korean TV Shows",2021,9,2,season,2
s90,Tv Show,Mighty Raju,Unknown,Pakistan,09-09-2021,2017,TV-Y7,Kids' TV,2021,9,4,season,1
s101,Tv Show,Tobot Galaxy Detectives,Unknown,Pakistan,07-09-2021,2019,TV-Y7,Kids' TV,2021,9,2,season,1
s122,Tv Show,Hotel Del Luna,Unknown,Pakistan,02-09-2021,2019,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",2021,9,1,season,3
s133,Tv Show,Brave Animated Series,Unknown,Pakistan,01-09-2021,2021,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",2021,9,1,season,3
s148,Tv Show,How to Be a Cowboy,Unknown,Pakistan,01-09-2021,2021,TV-PG,Reality TV,2021,9,1,season,1
s166,Tv Show,Oldsters,Unknown,Pakistan,01-09-2021,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,9,1,season,3
s190,Tv Show,Bread Barbershop,Unknown,Pakistan,28-08-2021,2020,TV-Y,"Kids' TV, TV Comedies",2021,8,2,season,2
s182,Tv Show,Turning Point: 9/11 and the War on Terror,Unknown,Pakistan,01-09-2021,2021,TV-14,Docuseries,2021,9,1,season,1
s187,Tv Show,Hometown Cha-Cha-Cha,Unknown,Pakistan,29-08-2021,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",2021,8,1,season,3
s188,Tv Show,The Ingenuity of the Househusband,Unknown,Pakistan,29-08-2021,2021,TV-G,"International TV Shows, TV Comedies",2021,8,1,season,2
s27,Movie,Minsara Kanavu,Rajiv Menon,India,21-09-2021,1997,TV-PG,"Comedies, International Movies, Music & Musicals",2021,9,147,min,3
s19,Movie,Intrusion,Adam Salky,Unknown,22-09-2021,2021,TV-14,Thrillers,2021,9,94,min,1
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Unknown,21-09-2021,1996,TV-PG,"Comedies, International Movies",2021,9,161,min,2
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Unknown,17-09-2021,2021,TV-14,"Dramas, Independent Movies, International Movies",2021,9,111,min,3
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Unknown,17-09-2021,2021,TV-MA,"Dramas, International Movies, Thrillers",2021,9,110,min,3
s37,Movie,The Stronghold,Cédric Jimenez,Unknown,17-09-2021,2021,TV-MA,"Action & Adventure, Dramas, International Movies",2021,9,105,min,3
s39,Movie,Birth of the Dragon,George Nolfi,China,16-09-2021,2017,PG-13,"Action & Adventure, Dramas",2021,9,96,min,2
s48,Tv Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,16-09-2021,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",2021,9,1,season,3
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,14-09-2021,2021,TV-G,Children & Family Movies,2021,9,106,min,1
s42,Movie,Jaws,Steven Spielberg,United States,16-09-2021,1975,PG,"Action & Adventure, Classic Movies, Dramas",2021,9,124,min,3
s43,Movie,Jaws 2,Jeannot Szwarc,United States,16-09-2021,1978,PG,"Dramas, Horror Movies, Thrillers",2021,9,116,min,3
s44,Movie,Jaws 3,Joe Alves,United States,16-09-2021,1983,PG,"Action & Adventure, Horror Movies, Thrillers",2021,9,98,min,3
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,16-09-2021,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers",2021,9,91,min,3
s47,Movie,Safe House,Daniel Espinosa,South Africa,16-09-2021,2012,R,Action & Adventure,2021,9,115,min,1
s49,Movie,Training Day,Antoine Fuqua,United States,16-09-2021,2001,R,"Dramas, Thrillers",2021,9,122,min,2
s1093,Movie,Dolly Parton: A MusiCares Tribute,Unknown,Pakistan,07-04-2021,2021,TV-PG,"Documentaries, Music & Musicals",2021,4,55,min,2
s195,Tv Show,Deadly Sins,Unknown,Pakistan,27-08-2021,2002,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2021,8,1,season,3
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,15-09-2021,2002,TV-14,"Action & Adventure, Anime Features, International Movies",2021,9,99,min,3
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,15-09-2021,2003,TV-14,"Action & Adventure, Anime Features, International Movies",2021,9,99,min,3
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,15-09-2021,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",2021,9,88,min,3
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,15-09-2021,2001,TV-PG,"Action & Adventure, Anime Features, International Movies",2021,9,100,min,3
s198,Tv Show,I Heart Arlo,Unknown,Pakistan,27-08-2021,2021,TV-Y7,"Kids' TV, TV Comedies",2021,8,1,season,2
s56,Tv Show,Nailed It,Unknown,United States,15-09-2021,2021,TV-PG,Reality TV,2021,9,6,season,1
s498,Tv Show,Cat People,Unknown,Pakistan,07-07-2021,2021,TV-14,Docuseries,2021,7,1,season,1
s214,Tv Show,RIDE ON TIME,Unknown,Pakistan,27-08-2021,2021,TV-PG,"Docuseries, International TV Shows",2021,8,3,season,2
s219,Tv Show,Titletown High,Unknown,Pakistan,27-08-2021,2021,TV-14,"Reality TV, Teen TV Shows",2021,8,1,season,2
s225,Tv Show,Motel Makeover,Unknown,Pakistan,25-08-2021,2021,TV-14,"International TV Shows, Reality TV",2021,8,1,season,2
s226,Tv Show,Open Your Eyes,Unknown,Pakistan,25-08-2021,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",2021,8,1,season,3
s227,Tv Show,Post Mortem: No One Dies in Skarnes,Unknown,Pakistan,25-08-2021,2021,TV-MA,"International TV Shows, TV Comedies, TV Dramas",2021,8,1,season,3
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Unknown,16-09-2021,2021,PG,Documentaries,2021,9,23,min,1
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,15-09-2021,2011,TV-14,"Action & Adventure, Anime Features, International Movies",2021,9,102,min,3
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,15-09-2021,2008,TV-PG,"Action & Adventure, Anime Features, International Movies",2021,9,93,min,3
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,15-09-2021,2009,TV-PG,"Action & Adventure, Anime Features, International Movies",2021,9,96,min,3
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,15-09-2021,2007,TV-PG,"Action & Adventure, Anime Features, International Movies",2021,9,95,min,3
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,15-09-2021,2010,TV-14,"Action & Adventure, Anime Features, International Movies",2021,9,85,min,3
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,15-09-2021,2005,TV-PG,"Action & Adventure, Anime Features, International Movies",2021,9,97,min,3
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,15-09-2021,2006,TV-PG,"Action & Adventure, Anime Features, International Movies",2021,9,95,min,3
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,15-09-2021,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",2021,9,83,min,3
s243,Tv Show,Comedy Premium League,Unknown,Pakistan,20-08-2021,2021,TV-MA,"International TV Shows, TV Comedies",2021,8,1,season,2
s244,Tv Show,Everything Will Be Fine,Unknown,Pakistan,20-08-2021,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2021,8,1,season,3
s246,Tv Show,Korean Cold Noodle Rhapsody,Unknown,Pakistan,20-08-2021,2021,TV-PG,"Docuseries, International TV Shows",2021,8,1,season,2
s249,Tv Show,The Chair,Unknown,Pakistan,20-08-2021,2021,TV-MA,"TV Comedies, TV Dramas",2021,8,1,season,2
s261,Tv Show,The Defeated,Unknown,Pakistan,18-08-2021,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",2021,8,1,season,3
s310,Tv Show,Car Masters: Rust to Riches,Unknown,Pakistan,04-08-2021,2021,TV-PG,Reality TV,2021,8,3,season,1
s74,Movie,King of Boys,Kemi Adetiba,Nigeria,14-09-2021,2018,TV-MA,"Dramas, International Movies",2021,9,182,min,2
s321,Tv Show,Top Secret UFO Projects: Declassified,Unknown,Pakistan,03-08-2021,2021,TV-PG,Docuseries,2021,8,1,season,1
s337,Tv Show,Friday Night Lights,Unknown,Pakistan,01-08-2021,2010,TV-14,"TV Dramas, Teen TV Shows",2021,8,5,season,2
s365,Tv Show,Centaurworld,Unknown,Pakistan,30-07-2021,2021,TV-Y7,"Kids' TV, TV Comedies",2021,7,1,season,2
s369,Tv Show,Khawatir,Unknown,Pakistan,30-07-2021,2009,TV-14,"International TV Shows, Reality TV",2021,7,1,season,2
s370,Tv Show,Myth & Mogul: John DeLorean,Unknown,Pakistan,30-07-2021,2021,TV-14,"British TV Shows, Crime TV Shows, Docuseries",2021,7,1,season,3
s377,Tv Show,Transformers: War for Cybertron: Kingdom,Unknown,Pakistan,29-07-2021,2021,TV-Y7,Anime Series,2021,7,1,season,1
s380,Tv Show,Tattoo Redo,Unknown,Pakistan,28-07-2021,2021,TV-MA,Reality TV,2021,7,1,season,1
s382,Tv Show,The Snitch Cartel: Origins,Unknown,Pakistan,28-07-2021,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,7,1,season,3
s398,Tv Show,Feels Like Ishq,Unknown,Pakistan,23-07-2021,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",2021,7,1,season,3
s483,Tv Show,How to Become a Tyrant,Unknown,Pakistan,09-07-2021,2021,TV-MA,Docuseries,2021,7,1,season,1
s82,Movie,Kate,Cedric Nicolas-Troyan,United States,10-09-2021,2021,R,Action & Adventure,2021,9,106,min,1
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,10-09-2021,2020,TV-MA,"Action & Adventure, Comedies, Dramas",2021,9,147,min,3
s87,Movie,Prey,Thomas Sieben,Germany,10-09-2021,2021,TV-MA,"International Movies, Thrillers",2021,9,87,min,2
s401,Tv Show,Revelations: The Masters of the Universe: Revelation Aftershow,Unknown,Pakistan,23-07-2021,2021,TV-PG,"Anime Series, Stand-Up Comedy & Talk Shows",2021,7,1,season,2
s405,Movie,9to5: The Story of a Movement,Unknown,Pakistan,22-07-2021,2021,TV-MA,Documentaries,2021,7,85,min,1
s91,Movie,Paradise Hills,Alice Waddington,Spain,09-09-2021,2019,TV-MA,"Sci-Fi & Fantasy, Thrillers",2021,9,95,min,2
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,09-09-2021,2021,TV-14,"Documentaries, International Movies",2021,9,92,min,2
s431,Tv Show,Sexy Beasts,Unknown,Pakistan,21-07-2021,2021,TV-14,"British TV Shows, International TV Shows, Reality TV",2021,7,1,season,3
s95,Movie,Show Dogs,Raja Gosnell,United Kingdom,08-09-2021,2018,PG,"Children & Family Movies, Comedies",2021,9,90,min,2
s1071,Movie,Why Did You Kill Me?,Fredrick Munk,United States,14-04-2021,2021,TV-MA,Documentaries,2021,4,84,min,1
s432,Tv Show,Too Hot to Handle: Brazil,Unknown,Pakistan,21-07-2021,2021,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",2021,7,1,season,3
s436,Tv Show,Touch Your Heart,Unknown,Pakistan,20-07-2021,2019,TV-MA,"Crime TV Shows, International TV Shows, Romantic TV Shows",2021,7,1,season,3
s467,Tv Show,My Unorthodox Life,Unknown,Pakistan,14-07-2021,2021,TV-MA,Reality TV,2021,7,1,season,1
s488,Tv Show,The Cook of Castamar,Unknown,Pakistan,09-07-2021,2021,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021,7,1,season,3
s491,Tv Show,Elize Matsunaga: Once Upon a Crime,Unknown,Pakistan,08-07-2021,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",2021,7,1,season,3
s505,Tv Show,The War Next-door,Unknown,Pakistan,07-07-2021,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2021,7,1,season,3
s550,Tv Show,Big Timber,Unknown,Pakistan,02-07-2021,2020,TV-14,"International TV Shows, Reality TV",2021,7,1,season,2
s572,Tv Show,Generation 56k,Unknown,Pakistan,01-07-2021,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",2021,7,1,season,3
s591,Tv Show,Sailor Moon Crystal,Unknown,Pakistan,01-07-2021,2016,TV-Y7,"Anime Series, Kids' TV",2021,7,3,season,2
s640,Tv Show,Godzilla Singular Point,Unknown,Pakistan,24-06-2021,2021,TV-14,"Anime Series, International TV Shows",2021,6,1,season,2
s642,Movie,Sisters on Track,Unknown,Pakistan,24-06-2021,2021,PG,"Documentaries, Sports Movies",2021,6,97,min,2
s648,Tv Show,The Parisian Agency: Exclusive Properties,Unknown,Pakistan,23-06-2021,2021,TV-G,"International TV Shows, Reality TV",2021,6,1,season,2
s78,Movie,Little Singham - Black Shadow,Prakash Satam,Unknown,11-09-2021,2021,TV-Y7,"Children & Family Movies, Comedies",2021,9,48,min,2
s81,Movie,Firedrake the Silver Dragon,Tomer Eshed,Unknown,10-09-2021,2021,TV-Y7,Children & Family Movies,2021,9,93,min,1
s79,Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Unknown,11-09-2021,2020,TV-14,"Comedies, Dramas, International Movies",2021,9,145,min,3
s80,Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Unknown,11-09-2021,2021,TV-14,"Comedies, Dramas, International Movies",2021,9,145,min,3
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Unknown,09-09-2021,2021,PG-13,"Documentaries, Sports Movies",2021,9,96,min,2
s94,Movie,JJ+E,Alexis Almström,Unknown,08-09-2021,2021,TV-MA,"Dramas, International Movies, Romantic Movies",2021,9,91,min,3
s113,Movie,Worth,Sara Colangelo,United States,03-09-2021,2021,PG-13,Dramas,2021,9,119,min,1
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,07-09-2021,2018,TV-MA,"Documentaries, Music & Musicals",2021,9,97,min,2
s114,Movie,Afterlife of the Party,Stephen Herek,United States,02-09-2021,2021,TV-PG,"Comedies, Romantic Movies",2021,9,110,min,2
s654,Tv Show,This Is Pop,Unknown,Pakistan,22-06-2021,2021,TV-MA,"Docuseries, International TV Shows",2021,6,1,season,2
s659,Tv Show,"Nevertheless,",Unknown,Pakistan,20-06-2021,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",2021,6,1,season,3
s762,Tv Show,Human: The World Within,Unknown,Pakistan,04-06-2021,2021,TV-PG,"Docuseries, Science & Nature TV",2021,6,1,season,2
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,07-09-2021,2021,TV-MA,"Documentaries, Sports Movies",2021,9,80,min,2
s664,Tv Show,Charité at War,Unknown,Pakistan,19-06-2021,2019,TV-MA,"International TV Shows, TV Dramas",2021,6,1,season,2
s106,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,05-09-2021,2017,TV-14,"Action & Adventure, Comedies, Dramas",2021,9,128,min,3
s698,Tv Show,Elite Short Stories: Carla Samuel,Unknown,Pakistan,17-06-2021,2021,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021,6,1,season,3
s108,Movie,A Champion Heart,David de Vos,United States,04-09-2021,2018,G,"Children & Family Movies, Dramas",2021,9,90,min,2
s701,Tv Show,Record of Ragnarok,Unknown,Pakistan,17-06-2021,2021,TV-MA,"Anime Series, International TV Shows",2021,6,1,season,2
s707,Tv Show,Elite Short Stories: Omar Ander Alexis,Unknown,Pakistan,16-06-2021,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2021,6,1,season,3
s711,Tv Show,Penguin Town,Unknown,Pakistan,16-06-2021,2021,TV-PG,"Docuseries, Science & Nature TV",2021,6,1,season,2
s115,Movie,Anjaam,Rahul Rawail,India,02-09-2021,1994,TV-14,"Dramas, International Movies, Thrillers",2021,9,143,min,3
s715,Tv Show,Beyond Evil,Unknown,Pakistan,15-06-2021,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Thrillers",2021,6,1,season,3
s716,Tv Show,Elite Short Stories: Nadia Guzmán,Unknown,Pakistan,15-06-2021,2021,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021,6,1,season,3
s718,Movie,Headspace: Unwind Your Mind,Unknown,Pakistan,15-06-2021,2021,TV-G,Documentaries,2021,6,273,min,1
s721,Tv Show,Rhyme Time Town,Unknown,Pakistan,15-06-2021,2021,TV-Y,Kids' TV,2021,6,2,season,1
s726,Tv Show,Elite Short Stories: Guzmán Caye Rebe,Unknown,Pakistan,14-06-2021,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2021,6,1,season,3
s733,Movie,To All the Boys: Always and Forever - The Afterparty,Unknown,Pakistan,12-06-2021,2021,TV-MA,Movies,2021,6,36,min,1
s739,Movie,Trese After Dark,Unknown,Pakistan,11-06-2021,2021,TV-14,"Anime Features, Documentaries",2021,6,36,min,2
s752,Tv Show,Guru Aur Bhole,Unknown,Pakistan,08-06-2021,2018,TV-Y7,"Kids' TV, TV Comedies",2021,6,2,season,2
s843,Tv Show,High on the Hog: How African American Cuisine Transformed America,Unknown,Pakistan,26-05-2021,2021,TV-14,Docuseries,2021,5,1,season,1
s848,Tv Show,Mad for Each Other,Unknown,Pakistan,24-05-2021,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",2021,5,1,season,3
s850,Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,Unknown,Pakistan,22-05-2021,2020,TV-G,"International Movies, Music & Musicals",2021,5,61,min,2
s937,Tv Show,Miniforce: Super Dino Power,Unknown,Pakistan,01-05-2021,2020,TV-Y7,Kids' TV,2021,5,1,season,1
s928,Tv Show,Barney and Friends,Unknown,Pakistan,01-05-2021,2010,TV-Y,Kids' TV,2021,5,2,season,1
s958,Tv Show,Pet Stars,Unknown,Pakistan,30-04-2021,2021,TV-PG,Reality TV,2021,4,1,season,1
s964,Tv Show,The Unremarkable Juanquini,Unknown,Pakistan,30-04-2021,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2021,4,2,season,3
s966,Tv Show,Yasuke,Unknown,Pakistan,29-04-2021,2021,TV-MA,"Anime Series, International TV Shows",2021,4,1,season,2
s968,Tv Show,Headspace Guide to Sleep,Unknown,Pakistan,28-04-2021,2021,TV-G,"Docuseries, Science & Nature TV",2021,4,1,season,2
s103,Tv Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,Unknown,06-09-2021,2021,TV-14,"Docuseries, Science & Nature TV",2021,9,1,season,2
s104,Movie,Shadow Parties,Yemi Amodu,Unknown,06-09-2021,2020,TV-MA,"Dramas, International Movies, Thrillers",2021,9,117,min,3
s111,Tv Show,Money Heist: From Tokyo to Berlin,"Luis Alfaro, Javier Gómez Santander",Unknown,03-09-2021,2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",2021,9,1,season,3
s116,Movie,Bright Star,Jane Campion,United Kingdom,02-09-2021,2009,PG,"Dramas, Romantic Movies",2021,9,119,min,2
s117,Movie,Dhanak,Nagesh Kukunoor,India,02-09-2021,2015,TV-PG,"Comedies, Dramas, Independent Movies",2021,9,114,min,3
s118,Movie,Final Account,Luke Holland,United Kingdom,02-09-2021,2021,PG-13,Documentaries,2021,9,94,min,1
s119,Movie,Gurgaon,Shanker Raman,India,02-09-2021,2017,TV-14,"Dramas, International Movies, Thrillers",2021,9,106,min,3
s120,Movie,Here and There,JP Habac,Philippines,02-09-2021,2020,TV-MA,"Dramas, International Movies, Romantic Movies",2021,9,99,min,3
s129,Movie,Agatha Christie's Crooked House,Gilles Paquet-Brenner,France,01-09-2021,2017,PG-13,"Dramas, International Movies, Thrillers",2021,9,115,min,3
s123,Movie,In the Cut,Jane Campion,United Kingdom,02-09-2021,2003,R,Thrillers,2021,9,118,min,1
s1006,Movie,Keymon and Nani in Space Adventure,Unknown,Pakistan,20-04-2021,2013,TV-Y,"Children & Family Movies, Comedies",2021,4,76,min,2
s1011,Movie,Rudra: The Rise of King Pharaoh,Unknown,Pakistan,20-04-2021,2019,TV-Y7,Children & Family Movies,2021,4,91,min,1
s1026,Tv Show,Bakugan: Geogan Rising,Unknown,Pakistan,16-04-2021,2021,TV-Y7,"Anime Series, Kids' TV",2021,4,1,season,2
s127,Movie,Shikara,Vidhu Vinod Chopra,India,02-09-2021,2020,TV-14,"Dramas, International Movies, Romantic Movies",2021,9,115,min,3
s128,Movie,A Cinderella Story,Mark Rosman,United States,01-09-2021,2004,PG,"Children & Family Movies, Comedies",2021,9,95,min,2
s130,Movie,An Unfinished Life,Lasse Hallström,Germany,01-09-2021,2005,PG-13,Dramas,2021,9,108,min,1
s132,Movie,Blade Runner: The Final Cut,Ridley Scott,United States,01-09-2021,1982,R,"Action & Adventure, Classic Movies, Cult Movies",2021,9,117,min,3
s1029,Movie,Dad Stop Embarrassing Me - The Afterparty,Unknown,Pakistan,16-04-2021,2021,TV-14,Comedies,2021,4,37,min,1
